Indicators,Period,State,Gender,Age ,Data Source,Program Area,Values
Prevalence of children with diarrhoea,2005,Cross River,All,All,IHME,RMNCH+N,47
Prevalence of children with diarrhoea,2006,Cross River,All,All,IHME,RMNCH+N,67
Prevalence of children with diarrhoea,2007,Cross River,All,All,IHME,RMNCH+N,180
Prevalence of children with diarrhoea,2008,Cross River,All,All,IHME,RMNCH+N,192
Prevalence of children with diarrhoea,2009,Cross River,All,All,IHME,RMNCH+N,37
Prevalence of children with diarrhoea,2010,Cross River,All,All,IHME,RMNCH+N,97
Prevalence of children with diarrhoea,2011,Cross River,All,All,IHME,RMNCH+N,27
Prevalence of children with diarrhoea,2012,Cross River,All,All,IHME,RMNCH+N,141
Prevalence of children with diarrhoea,2013,Cross River,All,All,IHME,RMNCH+N,83
Prevalence of children with diarrhoea,2014,Cross River,All,All,IHME,RMNCH+N,108
Prevalence of children with diarrhoea,2015,Cross River,All,All,IHME,RMNCH+N,52
Prevalence of children with diarrhoea,2000,Delta,All,All,IHME,RMNCH+N,42
Prevalence of children with diarrhoea,2001,Delta,All,All,IHME,RMNCH+N,49
Prevalence of children with diarrhoea,2002,Delta,All,All,IHME,RMNCH+N,218
Prevalence of children with diarrhoea,2003,Delta,All,All,IHME,RMNCH+N,10
Prevalence of children with diarrhoea,2004,Delta,All,All,IHME,RMNCH+N,250
Prevalence of children with diarrhoea,2005,Delta,All,All,IHME,RMNCH+N,201
Prevalence of children with diarrhoea,2006,Delta,All,All,IHME,RMNCH+N,68
Prevalence of children with diarrhoea,2007,Delta,All,All,IHME,RMNCH+N,139
Prevalence of children with diarrhoea,2008,Delta,All,All,IHME,RMNCH+N,250
Prevalence of children with diarrhoea,2009,Delta,All,All,IHME,RMNCH+N,148
Prevalence of children with diarrhoea,2010,Delta,All,All,IHME,RMNCH+N,54
Prevalence of children with diarrhoea,2011,Delta,All,All,IHME,RMNCH+N,65
Prevalence of children with diarrhoea,2012,Delta,All,All,IHME,RMNCH+N,70
Prevalence of children with diarrhoea,2013,Delta,All,All,IHME,RMNCH+N,228
Prevalence of children with diarrhoea,2014,Delta,All,All,IHME,RMNCH+N,210
Prevalence of children with diarrhoea,2015,Delta,All,All,IHME,RMNCH+N,114
Prevalence of children with diarrhoea,2000,Ebonyi,All,All,IHME,RMNCH+N,160
Prevalence of children with diarrhoea,2001,Ebonyi,All,All,IHME,RMNCH+N,119
Prevalence of children with diarrhoea,2002,Ebonyi,All,All,IHME,RMNCH+N,161
Prevalence of children with diarrhoea,2003,Ebonyi,All,All,IHME,RMNCH+N,129
Prevalence of children with diarrhoea,2004,Ebonyi,All,All,IHME,RMNCH+N,14
Prevalence of children with diarrhoea,2005,Ebonyi,All,All,IHME,RMNCH+N,74
Prevalence of children with diarrhoea,2006,Ebonyi,All,All,IHME,RMNCH+N,182
Prevalence of children with diarrhoea,2007,Ebonyi,All,All,IHME,RMNCH+N,197
Prevalence of children with diarrhoea,2008,Ebonyi,All,All,IHME,RMNCH+N,31
Prevalence of children with diarrhoea,2009,Ebonyi,All,All,IHME,RMNCH+N,135
Prevalence of children with diarrhoea,2010,Ebonyi,All,All,IHME,RMNCH+N,47
Prevalence of children with diarrhoea,2011,Ebonyi,All,All,IHME,RMNCH+N,196
Prevalence of children with diarrhoea,2012,Ebonyi,All,All,IHME,RMNCH+N,32
Prevalence of children with diarrhoea,2013,Ebonyi,All,All,IHME,RMNCH+N,112
Prevalence of children with diarrhoea,2014,Ebonyi,All,All,IHME,RMNCH+N,147
Prevalence of children with diarrhoea,2015,Ebonyi,All,All,IHME,RMNCH+N,247
Prevalence of children with diarrhoea,2000,Edo,All,All,IHME,RMNCH+N,90
Prevalence of children with diarrhoea,2001,Edo,All,All,IHME,RMNCH+N,247
Prevalence of children with diarrhoea,2002,Edo,All,All,IHME,RMNCH+N,60
Prevalence of children with diarrhoea,2003,Edo,All,All,IHME,RMNCH+N,206
Prevalence of children with diarrhoea,2004,Edo,All,All,IHME,RMNCH+N,25
Prevalence of children with diarrhoea,2005,Edo,All,All,IHME,RMNCH+N,250
Prevalence of children with diarrhoea,2006,Edo,All,All,IHME,RMNCH+N,22
Prevalence of children with diarrhoea,2007,Edo,All,All,IHME,RMNCH+N,25
Prevalence of children with diarrhoea,2008,Edo,All,All,IHME,RMNCH+N,194
Prevalence of children with diarrhoea,2009,Edo,All,All,IHME,RMNCH+N,139
Prevalence of children with diarrhoea,2010,Edo,All,All,IHME,RMNCH+N,100
Prevalence of children with diarrhoea,2011,Edo,All,All,IHME,RMNCH+N,39
Prevalence of children with diarrhoea,2012,Edo,All,All,IHME,RMNCH+N,115
Prevalence of children with diarrhoea,2013,Edo,All,All,IHME,RMNCH+N,194
Prevalence of children with diarrhoea,2014,Edo,All,All,IHME,RMNCH+N,18
Prevalence of children with diarrhoea,2015,Edo,All,All,IHME,RMNCH+N,234
Prevalence of children with diarrhoea,2000,Ekiti,All,All,IHME,RMNCH+N,238
Prevalence of children with diarrhoea,2001,Ekiti,All,All,IHME,RMNCH+N,134
Prevalence of children with diarrhoea,2002,Ekiti,All,All,IHME,RMNCH+N,218
Prevalence of children with diarrhoea,2003,Ekiti,All,All,IHME,RMNCH+N,67
Prevalence of children with diarrhoea,2004,Ekiti,All,All,IHME,RMNCH+N,105
Prevalence of children with diarrhoea,2005,Ekiti,All,All,IHME,RMNCH+N,138
Prevalence of children with diarrhoea,2006,Ekiti,All,All,IHME,RMNCH+N,209
Prevalence of children with diarrhoea,2007,Ekiti,All,All,IHME,RMNCH+N,116
Prevalence of children with diarrhoea,2008,Ekiti,All,All,IHME,RMNCH+N,82
Prevalence of children with diarrhoea,2009,Ekiti,All,All,IHME,RMNCH+N,177
Prevalence of children with diarrhoea,2010,Ekiti,All,All,IHME,RMNCH+N,219
Prevalence of children with diarrhoea,2011,Ekiti,All,All,IHME,RMNCH+N,127
Prevalence of children with diarrhoea,2012,Ekiti,All,All,IHME,RMNCH+N,162
Prevalence of children with diarrhoea,2013,Ekiti,All,All,IHME,RMNCH+N,185
Prevalence of children with diarrhoea,2014,Ekiti,All,All,IHME,RMNCH+N,24
Prevalence of children with diarrhoea,2015,Ekiti,All,All,IHME,RMNCH+N,249
Prevalence of children with diarrhoea,2000,Enugu,All,All,IHME,RMNCH+N,191
Prevalence of children with diarrhoea,2001,Enugu,All,All,IHME,RMNCH+N,68
Prevalence of children with diarrhoea,2002,Enugu,All,All,IHME,RMNCH+N,68
Prevalence of children with diarrhoea,2003,Enugu,All,All,IHME,RMNCH+N,174
Prevalence of children with diarrhoea,2004,Enugu,All,All,IHME,RMNCH+N,245
Prevalence of children with diarrhoea,2005,Enugu,All,All,IHME,RMNCH+N,233
Prevalence of children with diarrhoea,2006,Enugu,All,All,IHME,RMNCH+N,81
Prevalence of children with diarrhoea,2007,Enugu,All,All,IHME,RMNCH+N,182
Prevalence of children with diarrhoea,2008,Enugu,All,All,IHME,RMNCH+N,205
Prevalence of children with diarrhoea,2009,Enugu,All,All,IHME,RMNCH+N,185
Prevalence of children with diarrhoea,2010,Enugu,All,All,IHME,RMNCH+N,41
Prevalence of children with diarrhoea,2011,Enugu,All,All,IHME,RMNCH+N,97
Prevalence of children with diarrhoea,2012,Enugu,All,All,IHME,RMNCH+N,199
Prevalence of children with diarrhoea,2013,Enugu,All,All,IHME,RMNCH+N,223
Prevalence of children with diarrhoea,2014,Enugu,All,All,IHME,RMNCH+N,170
Prevalence of children with diarrhoea,2015,Enugu,All,All,IHME,RMNCH+N,139
Prevalence of children with diarrhoea,2000,Gombe,All,All,IHME,RMNCH+N,147
Prevalence of children with diarrhoea,2001,Gombe,All,All,IHME,RMNCH+N,84
Prevalence of children with diarrhoea,2002,Gombe,All,All,IHME,RMNCH+N,120
Prevalence of children with diarrhoea,2003,Gombe,All,All,IHME,RMNCH+N,157
Prevalence of children with diarrhoea,2004,Gombe,All,All,IHME,RMNCH+N,67
Prevalence of children with diarrhoea,2005,Gombe,All,All,IHME,RMNCH+N,182
Prevalence of children with diarrhoea,2006,Gombe,All,All,IHME,RMNCH+N,246
Prevalence of children with diarrhoea,2007,Gombe,All,All,IHME,RMNCH+N,186
Prevalence of children with diarrhoea,2008,Gombe,All,All,IHME,RMNCH+N,122
Prevalence of children with diarrhoea,2009,Gombe,All,All,IHME,RMNCH+N,113
Prevalence of children with diarrhoea,2010,Gombe,All,All,IHME,RMNCH+N,102
Prevalence of children with diarrhoea,2011,Gombe,All,All,IHME,RMNCH+N,133
Prevalence of children with diarrhoea,2012,Gombe,All,All,IHME,RMNCH+N,39
Prevalence of children with diarrhoea,2013,Gombe,All,All,IHME,RMNCH+N,78
Prevalence of children with diarrhoea,2014,Gombe,All,All,IHME,RMNCH+N,44
Prevalence of children with diarrhoea,2015,Gombe,All,All,IHME,RMNCH+N,177
Prevalence of children with diarrhoea,2000,Imo,All,All,IHME,RMNCH+N,230
Prevalence of children with diarrhoea,2001,Imo,All,All,IHME,RMNCH+N,177
Prevalence of children with diarrhoea,2002,Imo,All,All,IHME,RMNCH+N,51
Prevalence of children with diarrhoea,2003,Imo,All,All,IHME,RMNCH+N,190
Prevalence of children with diarrhoea,2004,Imo,All,All,IHME,RMNCH+N,163
Prevalence of children with diarrhoea,2005,Imo,All,All,IHME,RMNCH+N,249
Prevalence of children with diarrhoea,2006,Imo,All,All,IHME,RMNCH+N,220
Prevalence of children with diarrhoea,2007,Imo,All,All,IHME,RMNCH+N,12
Prevalence of children with diarrhoea,2008,Imo,All,All,IHME,RMNCH+N,43
Prevalence of children with diarrhoea,2009,Imo,All,All,IHME,RMNCH+N,184
Prevalence of children with diarrhoea,2010,Imo,All,All,IHME,RMNCH+N,27
Prevalence of children with diarrhoea,2011,Imo,All,All,IHME,RMNCH+N,250
Prevalence of children with diarrhoea,2012,Imo,All,All,IHME,RMNCH+N,101
Prevalence of children with diarrhoea,2013,Imo,All,All,IHME,RMNCH+N,128
Prevalence of children with diarrhoea,2014,Imo,All,All,IHME,RMNCH+N,248
Prevalence of children with diarrhoea,2015,Imo,All,All,IHME,RMNCH+N,46
Prevalence of children with diarrhoea,2000,Jigawa,All,All,IHME,RMNCH+N,194
Prevalence of children with diarrhoea,2001,Jigawa,All,All,IHME,RMNCH+N,43
Prevalence of children with diarrhoea,2002,Jigawa,All,All,IHME,RMNCH+N,45
Prevalence of children with diarrhoea,2003,Jigawa,All,All,IHME,RMNCH+N,15
Prevalence of children with diarrhoea,2004,Jigawa,All,All,IHME,RMNCH+N,134
Prevalence of children with diarrhoea,2005,Jigawa,All,All,IHME,RMNCH+N,17
Prevalence of children with diarrhoea,2006,Jigawa,All,All,IHME,RMNCH+N,197
Prevalence of children with diarrhoea,2007,Jigawa,All,All,IHME,RMNCH+N,79
Prevalence of children with diarrhoea,2008,Jigawa,All,All,IHME,RMNCH+N,10
Prevalence of children with diarrhoea,2009,Jigawa,All,All,IHME,RMNCH+N,12
Prevalence of children with diarrhoea,2010,Jigawa,All,All,IHME,RMNCH+N,41
Prevalence of children with diarrhoea,2011,Jigawa,All,All,IHME,RMNCH+N,177
Prevalence of children with diarrhoea,2012,Jigawa,All,All,IHME,RMNCH+N,193
Prevalence of children with diarrhoea,2013,Jigawa,All,All,IHME,RMNCH+N,117
Prevalence of children with diarrhoea,2014,Jigawa,All,All,IHME,RMNCH+N,68
Prevalence of children with diarrhoea,2015,Jigawa,All,All,IHME,RMNCH+N,31
Prevalence of children with diarrhoea,2000,Kaduna,All,All,IHME,RMNCH+N,142
Prevalence of children with diarrhoea,2001,Kaduna,All,All,IHME,RMNCH+N,119
Prevalence of children with diarrhoea,2002,Kaduna,All,All,IHME,RMNCH+N,203
Prevalence of children with diarrhoea,2003,Kaduna,All,All,IHME,RMNCH+N,82
Prevalence of children with diarrhoea,2004,Kaduna,All,All,IHME,RMNCH+N,193
Prevalence of children with diarrhoea,2005,Kaduna,All,All,IHME,RMNCH+N,13
Prevalence of children with diarrhoea,2006,Kaduna,All,All,IHME,RMNCH+N,63
Prevalence of children with diarrhoea,2007,Kaduna,All,All,IHME,RMNCH+N,125
Prevalence of children with diarrhoea,2008,Kaduna,All,All,IHME,RMNCH+N,128
Prevalence of children with diarrhoea,2009,Kaduna,All,All,IHME,RMNCH+N,41
Prevalence of children with diarrhoea,2010,Kaduna,All,All,IHME,RMNCH+N,114
Prevalence of children with diarrhoea,2011,Kaduna,All,All,IHME,RMNCH+N,218
Prevalence of children with diarrhoea,2012,Kaduna,All,All,IHME,RMNCH+N,230
Prevalence of children with diarrhoea,2013,Kaduna,All,All,IHME,RMNCH+N,173
Prevalence of children with diarrhoea,2014,Kaduna,All,All,IHME,RMNCH+N,168
Prevalence of children with diarrhoea,2015,Kaduna,All,All,IHME,RMNCH+N,190
Prevalence of children with diarrhoea,2000,Kano,All,All,IHME,RMNCH+N,203
Prevalence of children with diarrhoea,2001,Kano,All,All,IHME,RMNCH+N,214
Prevalence of children with diarrhoea,2002,Kano,All,All,IHME,RMNCH+N,68
Prevalence of children with diarrhoea,2003,Kano,All,All,IHME,RMNCH+N,106
Prevalence of children with diarrhoea,2004,Kano,All,All,IHME,RMNCH+N,195
Prevalence of children with diarrhoea,2005,Kano,All,All,IHME,RMNCH+N,94
Prevalence of children with diarrhoea,2006,Kano,All,All,IHME,RMNCH+N,138
Prevalence of children with diarrhoea,2007,Kano,All,All,IHME,RMNCH+N,126
Prevalence of children with diarrhoea,2008,Kano,All,All,IHME,RMNCH+N,76
Prevalence of children with diarrhoea,2009,Kano,All,All,IHME,RMNCH+N,156
Prevalence of children with diarrhoea,2010,Kano,All,All,IHME,RMNCH+N,16
Prevalence of children with diarrhoea,2011,Kano,All,All,IHME,RMNCH+N,64
Prevalence of children with diarrhoea,2012,Kano,All,All,IHME,RMNCH+N,132
Prevalence of children with diarrhoea,2013,Kano,All,All,IHME,RMNCH+N,90
Prevalence of children with diarrhoea,2014,Kano,All,All,IHME,RMNCH+N,71
Prevalence of children with diarrhoea,2015,Kano,All,All,IHME,RMNCH+N,48
Prevalence of children with diarrhoea,2000,Katsina,All,All,IHME,RMNCH+N,247
Prevalence of children with diarrhoea,2001,Katsina,All,All,IHME,RMNCH+N,171
Prevalence of children with diarrhoea,2002,Katsina,All,All,IHME,RMNCH+N,80
Prevalence of children with diarrhoea,2003,Katsina,All,All,IHME,RMNCH+N,216
Prevalence of children with diarrhoea,2004,Katsina,All,All,IHME,RMNCH+N,58
Prevalence of children with diarrhoea,2005,Katsina,All,All,IHME,RMNCH+N,19
Prevalence of children with diarrhoea,2006,Katsina,All,All,IHME,RMNCH+N,125
Prevalence of children with diarrhoea,2007,Katsina,All,All,IHME,RMNCH+N,116
Prevalence of children with diarrhoea,2008,Katsina,All,All,IHME,RMNCH+N,148
Prevalence of children with diarrhoea,2009,Katsina,All,All,IHME,RMNCH+N,146
Prevalence of children with diarrhoea,2010,Katsina,All,All,IHME,RMNCH+N,153
Prevalence of children with diarrhoea,2011,Katsina,All,All,IHME,RMNCH+N,19
Prevalence of children with diarrhoea,2012,Katsina,All,All,IHME,RMNCH+N,203
Prevalence of children with diarrhoea,2013,Katsina,All,All,IHME,RMNCH+N,140
Prevalence of children with diarrhoea,2014,Katsina,All,All,IHME,RMNCH+N,180
Prevalence of children with diarrhoea,2015,Katsina,All,All,IHME,RMNCH+N,128
Prevalence of children with diarrhoea,2000,Kebbi,All,All,IHME,RMNCH+N,249
Prevalence of children with diarrhoea,2001,Kebbi,All,All,IHME,RMNCH+N,38
Prevalence of children with diarrhoea,2002,Kebbi,All,All,IHME,RMNCH+N,248
Prevalence of children with diarrhoea,2003,Kebbi,All,All,IHME,RMNCH+N,240
Prevalence of children with diarrhoea,2004,Kebbi,All,All,IHME,RMNCH+N,23
Prevalence of children with diarrhoea,2005,Kebbi,All,All,IHME,RMNCH+N,169
Prevalence of children with diarrhoea,2006,Kebbi,All,All,IHME,RMNCH+N,23
Prevalence of children with diarrhoea,2007,Kebbi,All,All,IHME,RMNCH+N,211
Prevalence of children with diarrhoea,2008,Kebbi,All,All,IHME,RMNCH+N,121
Prevalence of children with diarrhoea,2009,Kebbi,All,All,IHME,RMNCH+N,215
Prevalence of children with diarrhoea,2010,Kebbi,All,All,IHME,RMNCH+N,164
Prevalence of children with diarrhoea,2011,Kebbi,All,All,IHME,RMNCH+N,183
Prevalence of children with diarrhoea,2012,Kebbi,All,All,IHME,RMNCH+N,209
Prevalence of children with diarrhoea,2013,Kebbi,All,All,IHME,RMNCH+N,158
Prevalence of children with diarrhoea,2014,Kebbi,All,All,IHME,RMNCH+N,42
Prevalence of children with diarrhoea,2015,Kebbi,All,All,IHME,RMNCH+N,150
Prevalence of children with diarrhoea,2000,Kogi,All,All,IHME,RMNCH+N,209
Prevalence of children with diarrhoea,2001,Kogi,All,All,IHME,RMNCH+N,112
Prevalence of children with diarrhoea,2002,Kogi,All,All,IHME,RMNCH+N,38
Prevalence of children with diarrhoea,2003,Kogi,All,All,IHME,RMNCH+N,146
Prevalence of children with diarrhoea,2004,Kogi,All,All,IHME,RMNCH+N,135
Prevalence of children with diarrhoea,2005,Kogi,All,All,IHME,RMNCH+N,110
Prevalence of children with diarrhoea,2006,Kogi,All,All,IHME,RMNCH+N,221
Prevalence of children with diarrhoea,2007,Kogi,All,All,IHME,RMNCH+N,18
Prevalence of children with diarrhoea,2008,Kogi,All,All,IHME,RMNCH+N,142
Prevalence of children with diarrhoea,2009,Kogi,All,All,IHME,RMNCH+N,224
Prevalence of children with diarrhoea,2010,Kogi,All,All,IHME,RMNCH+N,231
Prevalence of children with diarrhoea,2011,Kogi,All,All,IHME,RMNCH+N,127
Prevalence of children with diarrhoea,2012,Kogi,All,All,IHME,RMNCH+N,146
Prevalence of children with diarrhoea,2013,Kogi,All,All,IHME,RMNCH+N,148
Prevalence of children with diarrhoea,2014,Kogi,All,All,IHME,RMNCH+N,185
Prevalence of children with diarrhoea,2015,Kogi,All,All,IHME,RMNCH+N,26
Prevalence of children with diarrhoea,2000,Kwara,All,All,IHME,RMNCH+N,241
Prevalence of children with diarrhoea,2001,Kwara,All,All,IHME,RMNCH+N,246
Prevalence of children with diarrhoea,2002,Kwara,All,All,IHME,RMNCH+N,51
Prevalence of children with diarrhoea,2003,Kwara,All,All,IHME,RMNCH+N,54
Prevalence of children with diarrhoea,2004,Kwara,All,All,IHME,RMNCH+N,45
Prevalence of children with diarrhoea,2005,Kwara,All,All,IHME,RMNCH+N,194
Prevalence of children with diarrhoea,2006,Kwara,All,All,IHME,RMNCH+N,169
Prevalence of children with diarrhoea,2007,Kwara,All,All,IHME,RMNCH+N,174
Prevalence of children with diarrhoea,2008,Kwara,All,All,IHME,RMNCH+N,161
Prevalence of children with diarrhoea,2009,Kwara,All,All,IHME,RMNCH+N,181
Prevalence of children with diarrhoea,2010,Kwara,All,All,IHME,RMNCH+N,160
Prevalence of children with diarrhoea,2011,Kwara,All,All,IHME,RMNCH+N,130
Prevalence of children with diarrhoea,2012,Kwara,All,All,IHME,RMNCH+N,179
Prevalence of children with diarrhoea,2013,Kwara,All,All,IHME,RMNCH+N,134
Prevalence of children with diarrhoea,2014,Kwara,All,All,IHME,RMNCH+N,189
Prevalence of children with diarrhoea,2015,Kwara,All,All,IHME,RMNCH+N,177
Prevalence of children with diarrhoea,2000,Lagos,All,All,IHME,RMNCH+N,217
Prevalence of children with diarrhoea,2001,Lagos,All,All,IHME,RMNCH+N,232
Prevalence of children with diarrhoea,2002,Lagos,All,All,IHME,RMNCH+N,92
Prevalence of children with diarrhoea,2003,Lagos,All,All,IHME,RMNCH+N,207
Prevalence of children with diarrhoea,2004,Lagos,All,All,IHME,RMNCH+N,204
Prevalence of children with diarrhoea,2005,Lagos,All,All,IHME,RMNCH+N,41
Prevalence of children with diarrhoea,2006,Lagos,All,All,IHME,RMNCH+N,99
Prevalence of children with diarrhoea,2007,Lagos,All,All,IHME,RMNCH+N,131
Prevalence of children with diarrhoea,2008,Lagos,All,All,IHME,RMNCH+N,185
Prevalence of children with diarrhoea,2009,Lagos,All,All,IHME,RMNCH+N,179
Prevalence of children with diarrhoea,2010,Lagos,All,All,IHME,RMNCH+N,196
Prevalence of children with diarrhoea,2011,Lagos,All,All,IHME,RMNCH+N,19
Prevalence of children with diarrhoea,2012,Lagos,All,All,IHME,RMNCH+N,119
Prevalence of children with diarrhoea,2013,Lagos,All,All,IHME,RMNCH+N,82
Prevalence of children with diarrhoea,2014,Lagos,All,All,IHME,RMNCH+N,96
Prevalence of children with diarrhoea,2015,Lagos,All,All,IHME,RMNCH+N,74
Prevalence of children with diarrhoea,2000,Nasarawa,All,All,IHME,RMNCH+N,55
Prevalence of children with diarrhoea,2001,Nasarawa,All,All,IHME,RMNCH+N,169
Prevalence of children with diarrhoea,2002,Nasarawa,All,All,IHME,RMNCH+N,248
Prevalence of children with diarrhoea,2003,Nasarawa,All,All,IHME,RMNCH+N,32
Prevalence of children with diarrhoea,2004,Nasarawa,All,All,IHME,RMNCH+N,241
Prevalence of children with diarrhoea,2005,Nasarawa,All,All,IHME,RMNCH+N,61
Prevalence of children with diarrhoea,2006,Nasarawa,All,All,IHME,RMNCH+N,114
Prevalence of children with diarrhoea,2007,Nasarawa,All,All,IHME,RMNCH+N,20
Prevalence of children with diarrhoea,2008,Nasarawa,All,All,IHME,RMNCH+N,31
Prevalence of children with diarrhoea,2009,Nasarawa,All,All,IHME,RMNCH+N,149
Prevalence of children with diarrhoea,2010,Nasarawa,All,All,IHME,RMNCH+N,101
Prevalence of children with diarrhoea,2011,Nasarawa,All,All,IHME,RMNCH+N,54
Prevalence of children with diarrhoea,2012,Nasarawa,All,All,IHME,RMNCH+N,223
Prevalence of children with diarrhoea,2013,Nasarawa,All,All,IHME,RMNCH+N,29
Prevalence of children with diarrhoea,2014,Nasarawa,All,All,IHME,RMNCH+N,229
Prevalence of children with diarrhoea,2015,Nasarawa,All,All,IHME,RMNCH+N,182
Prevalence of children with diarrhoea,2000,Niger,All,All,IHME,RMNCH+N,59
Prevalence of children with diarrhoea,2001,Niger,All,All,IHME,RMNCH+N,227
Prevalence of children with diarrhoea,2002,Niger,All,All,IHME,RMNCH+N,29
Prevalence of children with diarrhoea,2003,Niger,All,All,IHME,RMNCH+N,40
Prevalence of children with diarrhoea,2004,Niger,All,All,IHME,RMNCH+N,185
Prevalence of children with diarrhoea,2005,Niger,All,All,IHME,RMNCH+N,96
Prevalence of children with diarrhoea,2006,Niger,All,All,IHME,RMNCH+N,147
Prevalence of children with diarrhoea,2007,Niger,All,All,IHME,RMNCH+N,181
Prevalence of children with diarrhoea,2008,Niger,All,All,IHME,RMNCH+N,148
Prevalence of children with diarrhoea,2009,Niger,All,All,IHME,RMNCH+N,20
Prevalence of children with diarrhoea,2010,Niger,All,All,IHME,RMNCH+N,211
Prevalence of children with diarrhoea,2011,Niger,All,All,IHME,RMNCH+N,140
Prevalence of children with diarrhoea,2012,Niger,All,All,IHME,RMNCH+N,92
Prevalence of children with diarrhoea,2013,Niger,All,All,IHME,RMNCH+N,47
Prevalence of children with diarrhoea,2014,Niger,All,All,IHME,RMNCH+N,243
Prevalence of children with diarrhoea,2015,Niger,All,All,IHME,RMNCH+N,212
Prevalence of children with diarrhoea,2000,Ogun,All,All,IHME,RMNCH+N,201
Prevalence of children with diarrhoea,2001,Ogun,All,All,IHME,RMNCH+N,149
Prevalence of children with diarrhoea,2002,Ogun,All,All,IHME,RMNCH+N,48
Prevalence of children with diarrhoea,2003,Ogun,All,All,IHME,RMNCH+N,182
Prevalence of children with diarrhoea,2004,Ogun,All,All,IHME,RMNCH+N,71
Prevalence of children with diarrhoea,2005,Ogun,All,All,IHME,RMNCH+N,136
Prevalence of children with diarrhoea,2006,Ogun,All,All,IHME,RMNCH+N,194
Prevalence of children with diarrhoea,2007,Ogun,All,All,IHME,RMNCH+N,205
Prevalence of children with diarrhoea,2008,Ogun,All,All,IHME,RMNCH+N,11
Prevalence of children with diarrhoea,2009,Ogun,All,All,IHME,RMNCH+N,167
Prevalence of children with diarrhoea,2010,Ogun,All,All,IHME,RMNCH+N,13
Prevalence of children with diarrhoea,2011,Ogun,All,All,IHME,RMNCH+N,121
Prevalence of children with diarrhoea,2012,Ogun,All,All,IHME,RMNCH+N,104
Prevalence of children with diarrhoea,2013,Ogun,All,All,IHME,RMNCH+N,172
Prevalence of children with diarrhoea,2014,Ogun,All,All,IHME,RMNCH+N,199
Prevalence of children with diarrhoea,2015,Ogun,All,All,IHME,RMNCH+N,56
Prevalence of children with diarrhoea,2000,Ondo,All,All,IHME,RMNCH+N,187
Prevalence of children with diarrhoea,2001,Ondo,All,All,IHME,RMNCH+N,80
Prevalence of children with diarrhoea,2002,Ondo,All,All,IHME,RMNCH+N,71
Prevalence of children with diarrhoea,2003,Ondo,All,All,IHME,RMNCH+N,67
Prevalence of children with diarrhoea,2004,Ondo,All,All,IHME,RMNCH+N,219
Prevalence of children with diarrhoea,2005,Ondo,All,All,IHME,RMNCH+N,86
Prevalence of children with diarrhoea,2006,Ondo,All,All,IHME,RMNCH+N,212
Prevalence of children with diarrhoea,2007,Ondo,All,All,IHME,RMNCH+N,231
Prevalence of children with diarrhoea,2008,Ondo,All,All,IHME,RMNCH+N,230
Prevalence of children with diarrhoea,2009,Ondo,All,All,IHME,RMNCH+N,108
Prevalence of children with diarrhoea,2010,Ondo,All,All,IHME,RMNCH+N,169
Prevalence of children with diarrhoea,2011,Ondo,All,All,IHME,RMNCH+N,84
Prevalence of children with diarrhoea,2012,Ondo,All,All,IHME,RMNCH+N,212
Prevalence of children with diarrhoea,2013,Ondo,All,All,IHME,RMNCH+N,164
Prevalence of children with diarrhoea,2014,Ondo,All,All,IHME,RMNCH+N,159
Prevalence of children with diarrhoea,2015,Ondo,All,All,IHME,RMNCH+N,150
Prevalence of children with diarrhoea,2000,Osun,All,All,IHME,RMNCH+N,150
Prevalence of children with diarrhoea,2001,Osun,All,All,IHME,RMNCH+N,169
Prevalence of children with diarrhoea,2002,Osun,All,All,IHME,RMNCH+N,82
Prevalence of children with diarrhoea,2003,Osun,All,All,IHME,RMNCH+N,217
Prevalence of children with diarrhoea,2004,Osun,All,All,IHME,RMNCH+N,148
Prevalence of children with diarrhoea,2005,Osun,All,All,IHME,RMNCH+N,161
Prevalence of children with diarrhoea,2006,Osun,All,All,IHME,RMNCH+N,38
Prevalence of children with diarrhoea,2007,Osun,All,All,IHME,RMNCH+N,44
Prevalence of children with diarrhoea,2008,Osun,All,All,IHME,RMNCH+N,65
Prevalence of children with diarrhoea,2009,Osun,All,All,IHME,RMNCH+N,136
Prevalence of children with diarrhoea,2010,Osun,All,All,IHME,RMNCH+N,125
Prevalence of children with diarrhoea,2011,Osun,All,All,IHME,RMNCH+N,57
Prevalence of children with diarrhoea,2012,Osun,All,All,IHME,RMNCH+N,76
Prevalence of children with diarrhoea,2013,Osun,All,All,IHME,RMNCH+N,195
Prevalence of children with diarrhoea,2014,Osun,All,All,IHME,RMNCH+N,107
Prevalence of children with diarrhoea,2015,Osun,All,All,IHME,RMNCH+N,190
Prevalence of children with diarrhoea,2000,Oyo,All,All,IHME,RMNCH+N,191
Prevalence of children with diarrhoea,2001,Oyo,All,All,IHME,RMNCH+N,48
Prevalence of children with diarrhoea,2002,Oyo,All,All,IHME,RMNCH+N,146
Prevalence of children with diarrhoea,2003,Oyo,All,All,IHME,RMNCH+N,131
Prevalence of children with diarrhoea,2004,Oyo,All,All,IHME,RMNCH+N,79
Prevalence of children with diarrhoea,2005,Oyo,All,All,IHME,RMNCH+N,89
Prevalence of children with diarrhoea,2006,Oyo,All,All,IHME,RMNCH+N,186
Prevalence of children with diarrhoea,2007,Oyo,All,All,IHME,RMNCH+N,209
